timestamp,throughput,loss_rate,rtt
0,2.8,0.095,128.02
1,4.56,0.06,116.11
2,5.77,0.02,74.61
3,7.81,0.088,104.93
4,4.1,0.083,61.18
5,9.91,0.088,148.9
6,3.59,0.071,89.45
7,5.96,0.068,43.25
8,8.59,0.066,120.9
9,6.23,0.03,32.85
10,8.03,0.032,134.9
11,3.71,0.036,142.24
12,9.92,0.079,136.52
13,3.87,0.096,137.32
14,6.15,0.027,85.48
15,7.28,0.098,97.42
16,6.7,0.032,119.63
17,5.28,0.058,114.15
18,9.36,0.034,31.68
19,4.6,0.051,59.79
20,2.17,0.089,77.74
21,6.0,0.007,66.6
22,5.46,0.095,105.75
23,7.49,0.042,129.96
24,2.79,0.084,139.01
25,2.88,0.09,40.23
26,8.13,0.024,39.74
27,9.22,0.03,72.94
28,3.65,0.094,143.37
29,8.89,0.022,106.98
30,9.97,0.099,40.12
31,3.09,0.031,148.14
32,8.9,0.093,78.14
33,4.43,0.008,109.25
34,4.75,0.057,129.62
35,2.09,0.092,138.24
36,3.93,0.001,47.24
37,5.13,0.043,74.31
38,5.68,0.006,30.42
39,3.07,0.084,138.55
40,9.47,0.034,134.3
41,6.02,0.028,54.81
42,4.71,0.032,86.04
43,4.06,0.069,112.63
44,5.35,0.053,83.73
45,2.17,0.077,72.07
46,7.3,0.094,143.71
47,3.41,0.065,90.88
48,4.65,0.062,75.67
49,6.78,0.056,69.21
50,6.41,0.002,121.76
51,3.68,0.031,78.49
52,8.9,0.065,93.63
53,5.52,0.009,64.88
54,6.27,0.078,90.27
55,7.89,0.055,36.22
56,6.04,0.034,116.15
57,3.28,0.01,57.66
58,4.27,0.075,91.14
59,9.95,0.013,115.34
