timestamp,throughput,loss_rate,rtt
0,9.92,0.036,55.8
1,7.62,0.01,77.28
2,4.86,0.088,52.13
3,7.08,0.053,38.94
4,7.33,0.008,96.47
5,5.39,0.09,125.32
6,3.76,0.05,36.8
7,2.77,0.074,137.93
8,3.47,0.057,135.13
9,7.09,0.02,67.11
10,9.96,0.052,34.53
11,3.08,0.019,67.03
12,2.23,0.023,128.48
13,9.02,0.044,100.11
14,8.85,0.016,142.38
15,5.54,0.034,62.71
16,2.32,0.023,116.13
17,6.47,0.049,141.75
18,7.1,0.041,69.31
19,7.16,0.019,86.23
20,3.35,0.076,110.64
21,7.76,0.07,86.36
22,3.09,0.004,81.76
23,5.2,0.075,97.62
24,9.03,0.083,136.86
25,7.56,0.099,105.73
26,3.82,0.09,129.92
27,3.37,0.046,36.24
28,4.14,0.081,51.89
29,2.58,0.071,130.7
30,9.58,0.094,31.79
31,4.71,0.002,144.92
32,2.93,0.097,41.31
33,4.51,0.083,138.33
34,4.48,0.056,30.59
35,7.49,0.046,137.92
36,6.2,0.003,131.18
37,2.34,0.092,75.95
38,7.53,0.05,146.25
39,4.55,0.055,81.48
40,9.01,0.073,148.87
41,9.8,0.006,70.56
42,4.47,0.002,40.34
43,4.26,0.001,119.96
44,2.63,0.073,64.3
45,3.63,0.039,98.55
46,7.9,0.055,137.09
47,6.22,0.058,75.79
48,5.46,0.046,102.78
49,2.18,0.074,88.45
50,7.48,0.058,129.14
51,9.34,0.047,87.78
52,6.68,0.07,32.87
53,5.61,0.09,89.67
54,7.21,0.048,30.32
55,4.38,0.092,112.57
56,7.51,0.055,146.19
57,4.29,0.099,48.71
58,6.03,0.046,137.23
59,4.83,0.057,95.0
