timestamp,throughput,loss_rate,rtt
0,7.1,0.09,30.69
1,3.3,0.044,130.87
2,6.15,0.069,120.66
3,4.6,0.064,86.85
4,9.75,0.068,102.76
5,7.54,0.058,121.56
6,3.73,0.004,80.63
7,4.05,0.004,32.29
8,7.82,0.096,121.2
9,8.4,0.097,107.24
10,7.4,0.043,55.6
11,8.41,0.008,68.7
12,6.9,0.007,32.29
13,8.25,0.082,147.5
14,9.35,0.016,51.93
15,8.19,0.01,34.28
16,7.91,0.034,83.07
17,4.25,0.006,131.8
18,4.58,0.055,109.4
19,4.3,0.079,113.98
20,5.54,0.043,121.84
21,9.91,0.095,32.19
22,5.69,0.041,100.3
23,4.98,0.038,145.04
24,7.45,0.025,107.38
25,9.93,0.094,78.66
26,7.01,0.087,111.22
27,5.28,0.092,84.03
28,2.85,0.009,76.39
29,3.84,0.045,42.53
30,2.72,0.047,140.35
31,3.6,0.042,77.5
32,5.56,0.098,102.08
33,4.53,0.054,128.65
34,5.26,0.082,93.8
35,6.95,0.089,119.99
36,5.45,0.059,125.15
37,5.97,0.091,46.04
38,5.06,0.014,77.59
39,8.22,0.042,81.67
40,2.98,0.04,149.1
41,2.73,0.041,106.38
42,8.17,0.024,62.0
43,3.14,0.06,138.72
44,4.03,0.017,55.58
45,2.32,0.026,35.17
46,7.18,0.058,35.39
47,6.07,0.081,126.33
48,7.76,0.078,136.59
49,2.46,0.002,120.54
50,8.83,0.028,106.47
51,4.41,0.073,79.75
52,3.87,0.034,145.31
53,8.71,0.028,126.66
54,4.24,0.017,63.15
55,9.74,0.032,116.37
56,9.86,0.027,116.55
57,8.16,0.039,70.54
58,6.79,0.018,65.81
59,5.86,0.027,50.16
