timestamp,throughput,loss_rate,rtt
0,9.98,0.017,87.91
1,7.68,0.065,76.92
2,2.62,0.014,105.47
3,5.04,0.025,115.43
4,7.18,0.078,119.43
5,4.75,0.025,96.45
6,4.27,0.063,58.53
7,3.71,0.024,68.06
8,9.9,0.034,68.13
9,3.98,0.058,88.4
10,9.37,0.075,63.56
11,4.23,0.089,61.71
12,9.97,0.018,73.47
13,7.1,0.064,146.81
14,6.63,0.004,97.31
15,4.95,0.076,88.8
16,6.38,0.042,69.88
17,3.79,0.04,81.81
18,9.2,0.038,95.5
19,2.72,0.052,39.0
20,6.17,0.092,49.91
21,7.01,0.084,65.17
22,8.88,0.003,30.04
23,3.16,0.023,88.09
24,8.55,0.08,69.27
25,5.08,0.047,74.82
26,9.16,0.049,35.6
27,4.15,0.05,110.27
28,8.64,0.045,100.15
29,7.46,0.006,116.47
30,7.32,0.052,147.78
31,5.5,0.069,89.45
32,2.07,0.05,132.2
33,7.52,0.059,34.43
34,5.1,0.0,144.02
35,7.29,0.045,144.42
36,2.4,0.032,147.6
37,2.02,0.093,61.29
38,4.89,0.0,83.57
39,3.37,0.043,49.57
40,2.15,0.069,60.82
41,3.44,0.033,104.02
42,5.66,0.039,47.18
43,7.94,0.081,90.78
44,9.71,0.036,144.2
45,5.61,0.059,75.03
46,2.46,0.072,44.14
47,3.23,0.014,44.95
48,9.97,0.043,127.09
49,9.26,0.045,107.89
50,3.8,0.07,93.6
51,3.88,0.067,53.92
52,6.52,0.011,45.74
53,6.13,0.03,123.04
54,5.91,0.009,128.58
55,9.3,0.015,99.14
56,8.23,0.065,84.1
57,6.2,0.086,69.71
58,4.27,0.057,62.79
59,4.02,0.073,42.86
