timestamp,throughput,loss_rate,rtt
0,3.95,0.009,35.4
1,8.83,0.002,50.59
2,7.34,0.024,130.18
3,6.3,0.072,99.71
4,9.11,0.038,104.27
5,6.38,0.038,133.91
6,6.09,0.069,146.64
7,2.91,0.011,130.03
8,9.82,0.005,45.12
9,6.55,0.052,34.16
10,5.61,0.092,78.23
11,6.58,0.014,64.74
12,8.4,0.038,86.32
13,9.1,0.066,52.53
14,4.01,0.005,114.69
15,4.86,0.048,51.84
16,2.94,0.061,136.75
17,6.67,0.001,58.79
18,3.67,0.061,49.65
19,7.49,0.008,99.17
20,5.86,0.073,95.27
21,7.35,0.049,146.45
22,9.21,0.068,65.41
23,7.02,0.041,40.39
24,9.71,0.084,131.24
25,2.92,0.038,93.74
26,6.64,0.09,40.72
27,6.26,0.054,107.53
28,7.14,0.098,102.95
29,2.16,0.1,82.19
30,8.02,0.065,102.49
31,6.49,0.091,37.08
32,6.6,0.008,66.47
33,8.5,0.027,59.43
34,8.47,0.087,104.65
35,7.46,0.046,54.44
36,2.17,0.093,114.72
37,7.5,0.048,66.93
38,5.93,0.013,103.8
39,4.45,0.068,87.4
40,7.11,0.029,91.76
41,6.94,0.036,96.1
42,3.46,0.022,52.15
43,3.23,0.031,147.12
44,4.42,0.086,130.19
45,6.02,0.064,78.46
46,4.17,0.07,31.74
47,8.26,0.036,125.26
48,7.7,0.064,140.94
49,5.0,0.053,35.53
50,5.0,0.094,78.18
51,3.36,0.064,88.85
52,8.47,0.057,87.23
53,7.12,0.019,55.24
54,4.98,0.094,40.02
55,5.0,0.007,122.69
56,8.82,0.074,77.3
57,6.75,0.027,49.6
58,5.66,0.095,135.89
59,2.78,0.1,47.87
