timestamp,throughput,loss_rate,rtt
0,2.62,0.006,88.08
1,6.56,0.088,139.87
2,6.34,0.097,58.15
3,6.25,0.008,32.09
4,5.07,0.06,116.45
5,6.97,0.04,40.14
6,7.78,0.044,65.95
7,8.09,0.003,131.04
8,9.92,0.078,30.07
9,5.48,0.048,129.09
10,7.24,0.097,114.52
11,5.55,0.098,138.16
12,2.82,0.092,47.53
13,5.72,0.042,84.52
14,3.92,0.069,93.24
15,4.34,0.021,55.56
16,7.03,0.01,130.16
17,7.2,0.069,84.39
18,6.56,0.083,140.77
19,4.95,0.025,141.9
20,9.83,0.038,112.06
21,6.23,0.06,103.42
22,2.93,0.084,31.12
23,6.39,0.071,145.3
24,3.02,0.092,81.99
25,9.22,0.099,149.81
26,3.59,0.029,112.13
27,6.8,0.083,38.5
28,8.51,0.007,86.64
29,2.98,0.027,71.36
30,4.84,0.006,68.33
31,6.47,0.083,50.44
32,8.82,0.059,58.53
33,4.43,0.075,81.51
34,4.39,0.091,113.01
35,3.1,0.034,105.04
36,8.27,0.012,48.95
37,4.91,0.081,75.09
38,2.77,0.1,46.47
39,4.33,0.05,71.62
40,5.32,0.064,31.79
41,7.69,0.066,85.36
42,4.62,0.079,97.75
43,6.34,0.094,112.37
44,9.54,0.09,86.76
45,9.87,0.083,39.44
46,9.81,0.002,122.58
47,6.94,0.027,31.69
48,9.13,0.016,120.37
49,5.41,0.091,67.08
50,3.2,0.022,56.53
51,5.85,0.001,82.19
52,7.37,0.059,82.71
53,4.34,0.099,97.55
54,9.16,0.031,66.18
55,5.33,0.025,137.27
56,6.36,0.047,62.74
57,9.84,0.084,95.73
58,2.33,0.045,35.93
59,9.4,0.006,135.62
