timestamp,throughput,loss_rate,rtt
0,8.88,0.015,98.2
1,5.68,0.027,49.94
2,8.94,0.064,53.02
3,4.71,0.069,82.18
4,6.9,0.079,83.73
5,6.48,0.02,131.99
6,6.8,0.021,145.06
7,7.88,0.034,57.46
8,5.62,0.041,148.66
9,5.15,0.06,100.51
10,6.56,0.058,47.41
11,3.41,0.026,111.16
12,4.01,0.059,103.59
13,5.46,0.019,81.39
14,4.04,0.067,37.4
15,5.23,0.049,48.73
16,7.56,0.091,49.12
17,5.79,0.065,53.44
18,6.79,0.001,91.39
19,8.82,0.091,120.8
20,7.57,0.022,145.05
21,9.63,0.001,93.74
22,2.86,0.051,137.54
23,9.08,0.019,98.78
24,7.31,0.089,33.16
25,5.96,0.029,137.98
26,3.28,0.061,57.55
27,6.88,0.092,67.72
28,9.27,0.073,45.2
29,2.18,0.038,71.07
30,4.06,0.021,56.49
31,8.03,0.053,144.17
32,9.33,0.04,123.53
33,2.28,0.014,68.17
34,8.13,0.056,91.65
35,3.6,0.047,87.03
36,4.98,0.097,93.14
37,7.24,0.026,75.96
38,3.71,0.066,66.82
39,6.92,0.068,57.08
40,7.74,0.044,47.12
41,7.85,0.058,133.9
42,9.63,0.083,99.54
43,9.3,0.087,125.45
44,4.33,0.093,65.76
45,9.16,0.035,83.01
46,4.64,0.065,82.55
47,6.03,0.043,82.92
48,6.57,0.045,99.23
49,3.14,0.004,44.47
50,9.82,0.072,78.09
51,6.21,0.054,45.1
52,4.47,0.003,99.28
53,9.93,0.003,39.69
54,2.1,0.028,31.84
55,3.48,0.054,123.14
56,9.0,0.094,82.35
57,2.53,0.088,134.22
58,2.49,0.056,95.94
59,7.07,0.004,124.03
